!!startBlock|||||
fam1_host_fri1|¡Hola! Justo te iba a mandar un mensajito. ¿Por dónde andabas?||Paseando.||fam1_host_fri2
|||Tengo que contarte algo.||fam1_host_fri3
fam1_host_fri2|¿Paseabas por lugares lindos?||Sí, qué se yo.||fam1_host_fri4
fam1_host_fri4|Mañana cuando volvés, ¿me traés el café molido que me gusta de ese lugar cerca de tu trabajo?.||Sí, te traigo.||fam1_host_fri5
|||Tengo algo para decirte.||fam1_host_fri3
fam1_host_fri5|Buenísimo, gracias.||Tengo que ir a hacer algo.||fam1_host_fri6
fam1_host_fri6|Dale.||
fam1_host_fri3|Sabés que me podés decir cualquier cosa.||Aunque… ahora que lo pienso, todavía no lo puedo hablar.||famhosti11
|||Me hice el estudio de VIH. Soy positivo.||fam1_host_fri7
fam1_host_fri11|Bueno, hijo, cuando quieras.||
fam1_host_fri7|… Bueno... Sí, me imagino cómo te debés sentir. Contá conmigo en todo lo que te pueda ayudar.||Ya me ayuda que  me entiendas.||fam1_host_fri8
|||Tengo miedo de olvidarme de tomar la medicación.||fam1_host_fri9
fam1_host_fri9|Ponemos mil alarmas por toda la casa. No te preocupes.||||
fam1_host_fri8|Oime, vas a estar bien, vas a tener que cuidarte, pero no estás solo.||Gracias, necesitaba oir eso.||fam1_host_fri10
fam1_host_fri10|Nada cambia, seguís siendo mi orgullo.||
fam1_host_pan1|¡Hola! Ya me estaba preocupando por vos, te estaba por llamar al celu. ¿Por dónde andabas?||Siempre te hacés tanto drama. Andaba por ahí.||fam1_host_pan2
|||Tengo que decirte algo, pero no te pongas mal.||fam1_host_pan3
fam1_host_pan2|Es que yo me preocupo. ¡Pasan cosas tan horribles en la calle!||Te hacés mucho la cabeza.||fam1_host_pan4
fam1_host_pan4|Es que encima vos me decís que andabas por ahí, y yo no sé dónde es ahí.||Ahí, haciendo mi vida.||fam1_host_pan5
|||Vengo del hospital. Pero por favor no te alteres.||fam1_host_pan3
fam1_host_pan5|Haciendo tu vida. Está bien, hacé tu vida, total, ya creciste y no me necesitás.||No es que no te necesite pero soy una persona adulta. ||fam1_host_pan6
